Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00259017, 0.00166978, 0.00091965, 0, 19440, 22420, 0
0.00161454, 0.00104332, 0.000569945, 0, 19440, 22418, 0
0.00239569, 0.00166182, 0.000732955, 0, 19440, 22423, 0
0.00321397, 0.00179766, 0.00141456, 1.467e-06, 19440, 22422, 33
0.00149726, 0.00106927, 0.000426871, 0, 19440, 22417, 0
0.00167699, 0.00123123, 0.000444956, 0, 19440, 22418, 0
0.00142784, 0.00102706, 0.000400151, 8.04e-07, 19440, 22413, 33
0.00141437, 0.00111934, 0.000294373, 0, 19440, 22419, 0
0.00128367, 0.000982729, 0.000300406, 0, 19440, 22423, 0
0.00167767, 0.00132039, 0.000356542, 0, 19440, 22421, 0
0.00285439, 0.00173623, 0.00111718, 2.708e-06, 19440, 22420, 66
0.00253207, 0.00165615, 0.000874744, 1.003e-06, 19440, 22421, 33
0.00223371, 0.00148484, 0.000747963, 0, 19440, 22423, 0
0.00286742, 0.00158717, 0.00127896, 0, 19440, 22418, 0
0.00128426, 0.000890726, 0.000392407, 0, 19440, 22421, 0
0.00122509, 0.000869048, 0.000355446, 1.025e-06, 19440, 22417, 33
0.00198718, 0.0015454, 0.000440742, 0, 19440, 22429, 0
0.00220417, 0.0014699, 0.000733323, 1.568e-06, 19440, 22421, 33
0.00252698, 0.00153517, 0.000990578, 0, 19440, 22425, 0
0.00251281, 0.00161701, 0.000895029, 0, 19440, 22425, 0
0.00151851, 0.00126639, 0.000251434, 0, 19440, 22421, 0
0.00124927, 0.000906049, 0.000342596, 0, 19440, 22422, 0
0.00231192, 0.00147627, 0.000834689, 0, 19440, 22416, 0
0.002237, 0.00143907, 0.000796975, 1.88e-06, 19440, 22419, 33
0.00148435, 0.000890874, 0.000592087, 0, 19440, 22417, 0
0.00211031, 0.00157422, 0.000534737, 0, 19440, 22418, 0
0.0015652, 0.00106064, 0.000503675, 1.178e-06, 19440, 22417, 33
0.00132032, 0.00104513, 0.0002746, 7.14e-07, 19440, 22414, 33
0.00214587, 0.00145525, 0.000689684, 0, 19440, 22417, 0
0.00124736, 0.000852296, 0.000394411, 0, 19440, 22439, 0
0.00240127, 0.00147058, 0.000929825, 0, 19440, 22419, 0
0.00277306, 0.00151637, 0.00125596, 1.715e-06, 19440, 22414, 33
0.00157495, 0.00113927, 0.000434779, 0, 19440, 22413, 0
0.00140142, 0.00100815, 0.000392522, 0, 19440, 22415, 0
0.00130265, 0.00100236, 0.000299663, 0, 19440, 22425, 0
0.00135328, 0.00103543, 0.000317327, 0, 19440, 22417, 0
0.00126905, 0.00101891, 0.000249424, 0, 19440, 22427, 0
0.00127304, 0.000993787, 0.000278761, 0, 19440, 22406, 0
0.00268066, 0.00167066, 0.0010091, 0, 19440, 22420, 0
0.00136311, 0.000999149, 0.000363019, 0, 19440, 22428, 0
0.00185586, 0.00153356, 0.00032157, 0, 19440, 22412, 0
0.00125485, 0.000984532, 0.000270015, 1.27e-06, 19440, 22423, 33
0.00127139, 0.000981537, 0.000289528, 1.028e-06, 19440, 22417, 33
0.00125718, 0.000991017, 0.000265613, 0, 19440, 22413, 0
0.00126719, 0.00101242, 0.000254456, 8.11e-07, 19440, 22422, 33
0.00272399, 0.00171598, 0.00100686, 2.026e-06, 19440, 22418, 33
0.00321025, 0.00186956, 0.00133898, 1.538e-06, 19440, 22430, 33
0.00295462, 0.00194035, 0.00101325, 0, 19440, 22426, 0
0.00291342, 0.00188557, 0.00102641, 0, 19440, 22418, 0
0.00282762, 0.00173734, 0.00108946, 0, 19440, 22419, 0
0.00149866, 0.00104357, 0.000454331, 0, 19440, 22414, 0
0.0026165, 0.00172583, 0.00088969, 0, 19440, 22411, 0
0.00290129, 0.00197227, 0.000927939, 0, 19440, 22417, 0
0.00255732, 0.00150699, 0.00104922, 0, 19440, 22415, 0
0.0018642, 0.00120209, 0.000661291, 2.038e-06, 19440, 22427, 66
0.00189996, 0.00147328, 0.000424729, 0, 19440, 22419, 0
0.00115015, 0.000855855, 0.000293464, 0, 19440, 22427, 0
0.00116485, 0.00087317, 0.000291292, 0, 19440, 22412, 0
0.00228149, 0.00150399, 0.000776493, 0, 19440, 22421, 0
0.00120132, 0.000875825, 0.000324815, 0, 19440, 22428, 0
0.00165699, 0.00129404, 0.000361991, 0, 19440, 22421, 0
0.00225558, 0.00116548, 0.00108863, 0, 19440, 22418, 0
0.00256164, 0.00156219, 0.00099846, 0, 19440, 22435, 0
0.00169177, 0.00127143, 0.000419055, 0, 19440, 22433, 0
0.00159704, 0.00118995, 0.000406319, 0, 19440, 22416, 0
0.00112098, 0.000865604, 0.000254809, 0, 19440, 22416, 0
0.0020365, 0.00166925, 0.000366438, 0, 19440, 22423, 0
0.00170579, 0.00115992, 0.000544982, 0, 19440, 22420, 0
0.00120354, 0.000890994, 0.000311809, 0, 19440, 22423, 0
0.00116075, 0.000893203, 0.000266815, 0, 19440, 22418, 0
0.00210568, 0.00141764, 0.000687275, 0, 19440, 22417, 0
0.00164369, 0.00139006, 0.000252664, 0, 19440, 22411, 0
0.0011159, 0.000872251, 0.000243157, 0, 19440, 22422, 0
0.00263764, 0.00151949, 0.00111717, 0, 19440, 22424, 0
0.00321345, 0.00194146, 0.00127082, 1.697e-06, 19440, 22413, 33
0.00177621, 0.00130924, 0.000465786, 0, 19440, 22430, 0
0.00150684, 0.0011258, 0.000379755, 9.95e-07, 19440, 22419, 33
0.00237005, 0.00158023, 0.000788838, 1.273e-06, 19440, 22419, 33
0.00135415, 0.00100352, 0.000349749, 0, 19440, 22424, 0
0.00193493, 0.00140801, 0.000526188, 0, 19440, 22425, 0
0.00264591, 0.00171167, 0.000932844, 0, 19440, 22419, 0
0.00197397, 0.00138675, 0.000586416, 0, 19440, 22415, 0
0.00247006, 0.00166241, 0.000806654, 0, 19440, 22430, 0
0.00128376, 0.00102754, 0.000255513, 0, 19440, 22428, 0
0.00129283, 0.000982658, 0.000309569, 0, 19440, 22414, 0
0.00272708, 0.00170402, 0.00102198, 0, 19440, 22418, 0
0.00160529, 0.00119571, 0.00040832, 1.33e-06, 19440, 22417, 33
0.0018977, 0.00147039, 0.000426198, 1.375e-06, 19440, 22417, 33
0.00242381, 0.00161864, 0.000804202, 0, 19440, 22421, 0
0.00232884, 0.00145203, 0.000875892, 1.068e-06, 19440, 22427, 33
0.00145925, 0.00101367, 0.000444216, 1.302e-06, 19440, 22414, 33
0.00211556, 0.00120027, 0.000914455, 0, 19440, 22419, 0
0.0025772, 0.00171635, 0.000859869, 0, 19440, 22427, 0
0.0011741, 0.000952466, 0.00022116, 6.55e-07, 19440, 22414, 33
0.00221212, 0.00166421, 0.000546995, 0, 19440, 22428, 0
0.00271239, 0.0016871, 0.00102429, 0, 19440, 22415, 0
0.00186075, 0.00125937, 0.000600578, 0, 19440, 22424, 0
0.00272655, 0.00180921, 0.000916557, 0, 19440, 22424, 0
0.0024734, 0.00170726, 0.000765078, 1.413e-06, 19440, 22427, 33
0.00119716, 0.000895508, 0.000301102, 0, 19440, 22419, 0
0.00222376, 0.00150279, 0.000720093, 1.578e-06, 19440, 22414, 33
0.00260459, 0.00153828, 0.00106525, 0, 19440, 22428, 0
0.00144393, 0.00107648, 0.000365887, 0, 19440, 22429, 0
0.00178356, 0.0011737, 0.000609073, 0, 19440, 22418, 0
0.00164775, 0.0012774, 0.000369384, 7.66e-07, 19440, 22421, 33
0.00112029, 0.000852088, 0.000267569, 0, 19440, 22422, 0
0.00158325, 0.00115699, 0.00042513, 0, 19440, 22427, 0
0.00245648, 0.00151146, 0.000943749, 0, 19440, 22419, 0
0.00272936, 0.00153334, 0.00119489, 0, 19440, 22409, 0
0.00115936, 0.000880547, 0.00027829, 0, 19440, 22417, 0
0.0011976, 0.000879738, 0.000317306, 0, 19440, 22418, 0
0.00108319, 0.000861363, 0.000221533, 0, 19440, 22408, 0
0.00128985, 0.00104374, 0.000245848, 0, 19440, 22419, 0
0.00111589, 0.000862111, 0.00025345, 0, 19440, 22427, 0
0.00110707, 0.000882108, 0.000224257, 0, 19440, 22425, 0
0.0011359, 0.00086758, 0.000267656, 0, 19440, 22417, 0
0.00254996, 0.00153642, 0.00101217, 0, 19440, 22423, 0
0.00273269, 0.00183399, 0.000897177, 0, 19440, 22409, 0
0.0012114, 0.00088302, 0.000327828, 0, 19440, 22424, 0
0.00111404, 0.000868506, 0.000244942, 0, 19440, 22428, 0
0.00116872, 0.000852323, 0.00031588, 0, 19440, 22416, 0
0.00231746, 0.00151708, 0.000799248, 0, 19440, 22428, 0
0.00128346, 0.000875444, 0.000407244, 0, 19440, 22421, 0
0.00266007, 0.00161818, 0.00104056, 0, 19440, 22419, 0
0.00129391, 0.00094246, 0.000350705, 0, 19440, 22429, 0
0.00162905, 0.00102079, 0.000607051, 0, 19440, 22421, 0
0.00130314, 0.00098821, 0.000314192, 0, 19440, 22419, 0
0.00247657, 0.00166279, 0.000812848, 0, 19440, 22419, 0
0.00202981, 0.0016535, 0.000375161, 0, 19440, 22418, 0
0.00127079, 0.000948717, 0.000321364, 1.451e-06, 19440, 22406, 33
0.00203522, 0.00122631, 0.000808128, 0, 19440, 22418, 0
0.00287805, 0.00184322, 0.0010337, 1.226e-06, 19440, 22418, 33
0.00130524, 0.00104607, 0.000258441, 0, 19440, 22411, 0
0.00123958, 0.000987916, 0.000251112, 0, 19440, 22434, 0
0.00214921, 0.00165691, 0.000491515, 1.142e-06, 19440, 22433, 33
0.00164665, 0.00130372, 0.000342304, 0, 19440, 22414, 0
0.00145979, 0.00104006, 0.000419116, 0, 19440, 22429, 0
0.00221003, 0.00155131, 0.000657451, 0, 19440, 22413, 0
0.0014298, 0.00110538, 0.000323179, 0, 19440, 22416, 0
0.00283529, 0.00179806, 0.001036, 1.795e-06, 19440, 22423, 33
0.00135465, 0.00103596, 0.000318076, 0, 19440, 22420, 0
0.00138783, 0.00107838, 0.000308833, 0, 19440, 22419, 0
0.00142107, 0.00108084, 0.000339663, 0, 19440, 22421, 0
0.00215329, 0.00168789, 0.000463977, 0, 19440, 22420, 0
0.00155499, 0.00111484, 0.00043937, 0, 19440, 22420, 0
0.00156273, 0.00113797, 0.000424086, 0, 19440, 22434, 0
0.00140412, 0.00106237, 0.000341334, 9.36e-07, 19440, 22419, 33
0.00133864, 0.00106547, 0.00027251, 0, 19440, 22428, 0
0.00139867, 0.00111004, 0.00028794, 0, 19440, 22415, 0
0.00281659, 0.00176817, 0.00104729, 1.692e-06, 19440, 22415, 33
0.0031591, 0.00195976, 0.00119794, 0, 19440, 22415, 0
0.00273858, 0.00158603, 0.00115107, 0, 19440, 22416, 0
0.00298506, 0.00181298, 0.0011707, 0, 19440, 22408, 0
0.00297204, 0.00169473, 0.00127589, 0, 19440, 22419, 0
0.00260998, 0.00166643, 0.000942252, 1.459e-06, 19440, 22422, 33
0.00109669, 0.000869985, 0.000225891, 0, 19440, 22415, 0
0.00117094, 0.000877108, 0.000293256, 0, 19440, 22425, 0
0.00111642, 0.000877351, 0.000238649, 0, 19440, 22421, 0
0.00113089, 0.00088722, 0.000243202, 0, 19440, 22426, 0
0.00161332, 0.00134001, 0.000272539, 6.75e-07, 19440, 22418, 33
0.00230554, 0.00140589, 0.000898524, 0, 19440, 22427, 0
0.00127013, 0.000918206, 0.000351373, 0, 19440, 22413, 0
0.00177963, 0.0013145, 0.000464505, 0, 19440, 22424, 0
0.00144239, 0.000830916, 0.000610935, 1.099e-06, 19440, 22418, 33
0.00137659, 0.00104612, 0.000329489, 0, 19440, 22422, 0
0.00113021, 0.000851557, 0.0002782, 0, 19440, 22413, 0
0.00109548, 0.000834311, 0.00026078, 1.126e-06, 19440, 22420, 33
0.00267411, 0.00159281, 0.00108036, 0, 19440, 22418, 0
0.001825, 0.0013447, 0.00047922, 0, 19440, 22409, 0
0.0014834, 0.000881779, 0.000600919, 0, 19440, 22414, 0
0.00190016, 0.00135797, 0.00054086, 0, 19440, 22414, 0
0.00227985, 0.00145829, 0.000820776, 0, 19440, 22424, 0
0.00158761, 0.00121021, 0.000376564, 0, 19440, 22413, 0
0.00115176, 0.000878083, 0.000273242, 0, 19440, 22414, 0
0.00112934, 0.000857844, 0.000270928, 0, 19440, 22423, 0
0.0016235, 0.00117994, 0.000442663, 0, 19440, 22421, 0
0.00257529, 0.00176395, 0.000810148, 1.215e-06, 19440, 22430, 33
0.00124406, 0.000975625, 0.000267754, 0, 19440, 22421, 0
0.00128108, 0.00100184, 0.000278653, 0, 19440, 22413, 0
0.00235121, 0.00165782, 0.000692624, 0, 19440, 22407, 0
0.00213747, 0.00167273, 0.00046385, 0, 19440, 22418, 0
0.00292224, 0.00183313, 0.00108774, 0, 19440, 22418, 0
0.00285396, 0.00192057, 0.000932388, 0, 19440, 22417, 0
0.00325699, 0.00219542, 0.00105973, 0, 19440, 22433, 0
0.00263774, 0.0016504, 0.000986313, 0, 19440, 22429, 0
0.0030273, 0.00190025, 0.00112577, 0, 19440, 22423, 0
0.00255101, 0.00177297, 0.000777034, 0, 19440, 22419, 0
0.00236155, 0.00163634, 0.000724357, 0, 19440, 22423, 0
0.00129672, 0.00101779, 0.000278283, 0, 19440, 22417, 0
0.00131126, 0.00100966, 0.000300873, 0, 19440, 22411, 0
0.00140479, 0.00101015, 0.000394238, 1.48e-06, 19440, 22425, 33
0.00306808, 0.0018837, 0.00118276, 0, 19440, 22429, 0
0.00134233, 0.00100738, 0.000334033, 0, 19440, 22416, 0
0.00132811, 0.00101801, 0.000309416, 6.83e-07, 19440, 22426, 33
0.00247258, 0.00164651, 0.000825299, 0, 19440, 22430, 0
0.00136378, 0.00102459, 0.000338624, 0, 19440, 22426, 0
0.00283541, 0.0015006, 0.00133341, 0, 19440, 22417, 0
0.00154029, 0.00103941, 0.000499948, 8.02e-07, 19440, 22423, 33
0.00162795, 0.00122348, 0.000403303, 0, 19440, 22420, 0
0.00224578, 0.00147376, 0.000771033, 0, 19440, 22411, 0
0.00112612, 0.000878074, 0.000247068, 0, 19440, 22421, 0
0.00144698, 0.00114474, 0.000301291, 0, 19440, 22425, 0
0.00110446, 0.000859394, 0.000244586, 0, 19440, 22411, 0
0.00113755, 0.00087349, 0.000263424, 0, 19440, 22416, 0
0.00123763, 0.000889534, 0.000347556, 0, 19440, 22426, 0
